
Name                                                                   AppID                                                                                                               
??????? The Elder Scrolls V Skyrim - Special Edition                   C:\SKYRIM\Old Good Skyrim (1.3.1)\The Elder Scrolls V Skyrim - Special Edition\unins000.exe                         
Steam                                                                  C:\Steam\UnoSetup.exe                                                                                               
?????                                                                  C:\Users\Masret\AppData\Local\Kumir\kumir.exe                                                                       
???????? ??????                                                        C:\Users\Masret\AppData\Local\Kumir\taskEdit.exe                                                                    
NVIDIA GeForce NOW                                                     C:\Users\Masret\AppData\Local\NVIDIA Corporation\GeForceNOW\CEF\GeForceNOW.exe                                      
CCleaner                                                               C:\Users\Masret\AppData\Local\Programs\newlan\newlan.exe                                                            
Uninstall                                                              C:\Users\Masret\AppData\Local\Programs\Nicepage\Uninstall Nicepage.exe                                              
pusk_2                                                                 C:\Users\Masret\AppData\Local\Programs\Python\Python310\dist\pusk_2.exe                                             
Python 3.10 (64-bit)                                                   C:\Users\Masret\AppData\Local\Programs\Python\Python310\python.exe                                                  
Python 3.11 Manuals (32-bit)                                           C:\Users\Masret\AppData\Local\Programs\Python\Python311-32\Doc\html\index.html                                      
Python 3.11 (32-bit)                                                   C:\Users\Masret\AppData\Local\Programs\Python\Python311-32\python.exe                                               
????????? ???                                                          C:\Users\Masret\AppData\Local\Programs\????????? ???\ArchRar.exe                                                    
???????????????? Telegram                                              C:\Users\Masret\AppData\Roaming\Telegram Desktop\unins000.exe                                                       
uTorrent Web                                                           C:\Users\Masret\AppData\Roaming\uTorrent Web\utweb.exe                                                              
Coffee Talk                                                            C:\Users\Masret\Downloads\Mount_Blade_Warband_2.059_(47190)_win_gog\Coffee Talk\CoffeeTalk.exe                      
Mount and Blade - Warband                                              C:\Users\Masret\Downloads\Mount_Blade_Warband_2.059_(47190)_win_gog\Mount and Blade - Warband\mb_warband.exe        
??????? Mount and Blade - Warband                                      C:\Users\Masret\Downloads\Mount_Blade_Warband_2.059_(47190)_win_gog\Mount and Blade - Warband\unins000.exe          
uTorrent                                                               C:\uTorrent\uTorrent\uTorrent.exe                                                                                   
Nicepage                                                               com.electron.nicepage                                                                                               
Outline                                                                com.electron.outline-client                                                                                         
Vortex                                                                 com.nexusmods.vortex                                                                                                
NVIDIA                                                                 com.nvidia.nvapp                                                                                                    
Run_CSGO                                                               Embarcadero.DesktopToasts.FE61AFD0                                                                                  
Git for Windows                                                        GitForWindows.Updater                                                                                               
HP ePrint SW                                                           HP.ePrint.HPePrint                                                                                                  
Steam Support Center                                                   http://support.steampowered.com/                                                                                    
Support                                                                http://www.gog.com/support/mount_blade_warband                                                                      
???? Star Wars - The Force Unleashed 2 ? ?????????                     http://zlofenix.org/forum/index.php?showuser=12                                                                     
Git FAQs (Frequently Asked Questions)                                  https://github.com/git-for-windows/git/wiki/FAQ                                                                     
Homepage                                                               https://mhoefs.eu                                                                                                   
LagoFast                                                               JUNYUN.LIMITED.LagoFast                                                                                             
???????                                                                Microsoft.AutoGenerated.{05FBCD0F-AE95-AE3D-6644-7896FE4CD5BF}                                                      
????????? ???????? ????????????                                        Microsoft.AutoGenerated.{0DB9BCBD-74BB-1147-F43B-3CAFDA90A57E}                                                      
Git Bash                                                               Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}                                                      
The Chronicles Of Myrtana - Archolos                                   Microsoft.AutoGenerated.{11ECF3F2-4BE7-08D1-8096-801AE95A1152}                                                      
Cry of Fear [??????? ?????? ????]                                      Microsoft.AutoGenerated.{12719FDF-5C02-4246-DB5F-39693F1C282B}                                                      
Gothic Novus                                                           Microsoft.AutoGenerated.{1D676C80-61BA-FA42-588B-F80F0E6F6BCD}                                                      
Git CMD                                                                Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}                                                      
Python 3.10 Module Docs (64-bit)                                       Microsoft.AutoGenerated.{2B8808AB-3E1C-BC83-F33D-8CCA04335C88}                                                      
Uninstall Zoom Workplace                                               Microsoft.AutoGenerated.{2C2740AB-AE63-A619-6C4E-41D5A0522C75}                                                      
??????????? ???????                                                    Microsoft.AutoGenerated.{40D5C9D0-AF1C-1ADC-3C79-992C0E52FF6E}                                                      
Python 3.11 Module Docs (32-bit)                                       Microsoft.AutoGenerated.{537928B6-8B2B-2010-A7CF-CE62DC26ECD5}                                                      
Novus_alter_rus                                                        Microsoft.AutoGenerated.{54A3254C-B69A-4D91-4EA9-8C2A81E5F7FF}                                                      
Star Wars - The Force Unleashed 2                                      Microsoft.AutoGenerated.{59EA938B-7F10-68EA-9C6F-80A3471F028F}                                                      
Wrye Bash - SkyrimSE (Debug Log)                                       Microsoft.AutoGenerated.{5A2C9493-9616-2929-D282-082DDEE73DCE}                                                      
????????? ?????                                                        Microsoft.AutoGenerated.{600A9E7E-A9B2-0BEE-56C1-545351DEA529}                                                      
????? (????? ???????)                                                  Microsoft.AutoGenerated.{6146A36C-4920-8B1D-2273-DA3544932AB7}                                                      
IDLE (Python 3.11 32-bit)                                              Microsoft.AutoGenerated.{6C4DDFCD-4870-DCA0-0C5B-B0CFF2E16C33}                                                      
Nexus Mod Manager (Trace Mode)                                         Microsoft.AutoGenerated.{7177E5A8-668B-C8B1-94E9-CF00C1FB5DF3}                                                      
????????                                                               Microsoft.AutoGenerated.{7F3D58D5-1AAD-4A49-0ACD-56A815A14AAF}                                                      
???????? ???????                                                       Microsoft.AutoGenerated.{80352300-3444-8612-1EAC-6EB176FD6929}                                                      
????????                                                               Microsoft.AutoGenerated.{80360B7D-59BD-7FC9-688D-ECB3EAE72230}                                                      
Wrye Bash - Skyrim (Debug Log)                                         Microsoft.AutoGenerated.{8A04F037-2537-9761-E062-B8DE9CE88AB8}                                                      
IDLE (Python 3.10 64-bit)                                              Microsoft.AutoGenerated.{8B075579-0914-9FDE-0814-CA5E850443AA}                                                      
?????????? ???????????                                                 Microsoft.AutoGenerated.{8C37ED39-5477-D859-E853-7369A4CF9421}                                                      
Run launcher                                                           Microsoft.AutoGenerated.{9285052F-F519-0388-75D3-C7F09363DC7C}                                                      
??????? ????????                                                       Microsoft.AutoGenerated.{953596EE-7B1B-AC76-427E-105662057031}                                                      
BSA browser                                                            Microsoft.AutoGenerated.{AFCF28DF-A065-F7C5-E3F9-FDA2A911BF57}                                                      
?????? Counter-Strike 1.6                                              Microsoft.AutoGenerated.{BFDCF3BA-62DE-0486-763D-BE69364EB00D}                                                      
Python 3.10 Manuals (64-bit)                                           Microsoft.AutoGenerated.{C7CFDB95-C192-D92C-8DC4-3769CDA08235}                                                      
?????????  Red Dead Redemption 2                                       Microsoft.AutoGenerated.{CBD62798-E7FB-1D35-E0A7-C2F4C7BBB065}                                                      
Wrye Bash - Oblivion (Debug Log)                                       Microsoft.AutoGenerated.{CD7C91C2-C745-9F35-31D6-613666FEBB24}                                                      
Windows Speech Recognition                                             Microsoft.AutoGenerated.{DAA168DE-4306-C8BC-8C11-B596240BDDED}                                                      
Oblivion Mod Manager (Safe Mode)                                       Microsoft.AutoGenerated.{E030A24A-41E5-87D0-1D37-48E81ABBDF49}                                                      
